lots;boards;panels;anzahlFrames;panelSize;boardsInFrame;projNr;process;subProcess;prozessOrder;frame_tactTime_brutto;frame_tactTime_netto;panel_tactTime_brutto;panel_tactTime_netto;board_tactTime_brutto;board_tactTime_netto;manufacturingTime
3;3390;339;NULL;10;NULL;605B1A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;0,4944;0,4167;0,0494;0,0417;2025-06-16
3;1000;100;NULL;10;NULL;605F1B;4_AOI;4_AOI_SIDEB;1;NULL;NULL;2,1444;1,6333;0,2144;0,1633;2025-01-20
3;450;45;NULL;10;NULL;605F1B;5_FPT;5_FPT_BASIC;2;NULL;NULL;4,225;3,2;0,4225;0,32;2025-01-20
3;500;50;NULL;10;NULL;605F1B;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;6,5667;5,6667;0,6567;0,5667;2026-04-01
1;156;39;NULL;4;NULL;607A1B;2_ODD;2_ODDA;1;NULL;NULL;1,05;0,9333;0,2625;0,2333;2026-02-02
1;38;9,5;39;4;4;607A1B;3_SEL;3_SELA;2;1,5167;1,2667;1,5167;1,2667;0,3792;0,3167;2026-02-02
1;156;39;NULL;4;NULL;607A1B;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,7667;1,3167;0,4417;0,3292;2026-02-02
1;156;39;NULL;4;NULL;607A1B;5_FPT;5_FPT_BASIC;4;NULL;NULL;5,35;3,8167;1,3375;0,9542;2026-02-02
2;46818;867;NULL;54;NULL;607IAA;4_AOI;4_AOI_SIDEA;1;NULL;NULL;0,6;0,5333;0,0111;0,0099;2024-12-02
1;200;50;NULL;4;NULL;607J1A;4_AOI;4_AOI_SIDEA;1;NULL;NULL;1,35;1,1167;0,3375;0,2792;2025-06-13
1;200;50;NULL;4;NULL;607J1A;5_FPT;5_FPT_PREMIUM;2;NULL;NULL;2,7667;2,1666;0,6917;0,5417;2025-06-13
2;2000;100;NULL;20;NULL;61711A;1_SMT;1_SMTA;1;NULL;NULL;1,0833;0,8833;0,0542;0,0442;2026-04-22
2;4920;246;NULL;20;NULL;61711A;4_AOI;4_AOI_SIDEA;2;NULL;NULL;0,7667;0,625;0,0383;0,0313;2025-11-10
2;4920;246;NULL;20;NULL;61711A;5_FPT;5_FPT_BASIC;3;NULL;NULL;1,3055;1,1556;0,0653;0,0578;2025-11-10
2;4860;243;NULL;20;NULL;61711A;6_DEP;6_DEP;4;NULL;NULL;2,4166;2,2667;0,1208;0,1133;2025-11-10
2;14;1,4;15;10;10;62211B;3_SEL;3_SELA;1;2,7667;1,85;2,7667;1,85;0,2767;0,185;2025-07-15
2;280;28;NULL;10;NULL;62211B;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,6667;1,2584;0,1667;0,1258;2025-07-15
2;280;28;NULL;10;NULL;62211B;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;15,55;13,5833;1,555;1,3583;2025-07-15
21;612;153;NULL;4;NULL;62811A;1_SMT;1_SMTA;1;NULL;NULL;1,5611;0,775;0,3903;0,1937;2026-02-27
21;1592;398;NULL;4;NULL;62811A;2_ODD;2_ODDA;2;NULL;NULL;6,5567;5,5678;1,6392;1,3919;2025-04-03
21;300;75;167;4;8;62811A;3_SEL;3_SELA;3;8,4972;6,675;4,2486;3,3375;1,0622;0,8344;2025-01-22
21;2196;549;NULL;4;NULL;62811A;4_AOI;4_AOI_SIDEB;4;NULL;NULL;1,8246;1,5262;0,4561;0,3815;2024-08-22
21;2096;524;NULL;4;NULL;62811A;4_AOI;4_AOI_SMT;5;NULL;NULL;0,8642;0,6233;0,216;0,1558;2024-10-15
21;2172;543;NULL;4;NULL;62811A;5_FPT;5_FPT_BASIC;6;NULL;NULL;2,8563;2,1103;0,7141;0,5276;2024-08-22
21;764;191;NULL;4;NULL;62811A;6_DEP;6_DEP;7;NULL;NULL;1,1437;0,9083;0,2859;0,2271;2025-11-21
1;52;13;NULL;4;NULL;62821A;1_SMT;1_SMTA;1;NULL;NULL;2,1167;0,95;0,5292;0,2375;2026-06-01
1;52;13;NULL;4;NULL;62821A;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,9667;1,2;0,4917;0,3;2026-06-01
1;52;13;NULL;4;NULL;62821A;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;2,15;1,7667;0,5375;0,4417;2026-06-01
