lots;boards;panels;anzahlFrames;panelSize;boardsInFrame;projNr;process;subProcess;prozessOrder;frame_tactTime_brutto;frame_tactTime_netto;panel_tactTime_brutto;panel_tactTime_netto;board_tactTime_brutto;board_tactTime_netto;manufacturingTime
1;180;90;NULL;2;NULL;70791A;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,5;1,2667;0,75;0,6333;2025-11-28
1;178;89;NULL;2;NULL;70791A;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;2,6167;2,05;1,3083;1,025;2025-11-28
1;160;10;NULL;16;NULL;707A1A;4_AOI;4_AOI_SIDEA;1;NULL;NULL;1,7167;1,4667;0,1073;0,0917;2025-11-17
1;150;150;NULL;1;NULL;78041A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,1;1;1,1;1;2026-04-16
1;150;150;NULL;1;NULL;78041A;5_FPT;5_FPT_PREMIUM;2;NULL;NULL;1,3167;1,05;1,3167;1,05;2026-04-16
1;84;42;26;2;8;78061A;3_SEL;3_SELA;1;4,2;2,6;1,05;0,65;0,525;0,325;2025-05-08
1;170;85;NULL;2;NULL;78061A;4_AOI;4_AOI_SIDEB;2;NULL;NULL;0,8833;0,7833;0,4416;0,3916;2025-05-08
1;200;100;NULL;2;NULL;78061A;5_FPT;5_FPT_BASIC;3;NULL;NULL;1,1;0,8;0,55;0,4;2025-05-08
2;660;330;NULL;2;NULL;780P1A;1_SMT;1_SMTA;1;NULL;NULL;0,5167;0,4;0,2584;0,2;2026-07-20
2;244;122;47;2;12;780P1A;3_SEL;3_SELA;2;6,6;4,6002;1,1;0,7667;0,55;0,3834;2025-02-28
2;1728;864;NULL;2;NULL;780P1A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,0944;0,8833;0,5472;0,4417;2025-02-28
2;1728;864;NULL;2;NULL;780P1A;5_FPT;5_FPT_BASIC;4;NULL;NULL;0,7055;0,5722;0,3528;0,2861;2025-02-28
2;754;377;NULL;2;NULL;780P1A;6_DEP;6_DEP;5;NULL;NULL;0,5167;0,4667;0,2584;0,2334;2026-07-20
2;25;12,5;13;2;4;78211B;3_SEL;3_SELA;1;1,9334;1,2666;0,9667;0,6333;0,4834;0,3166;2025-10-23
2;200;100;NULL;2;NULL;78211B;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,0917;0,9583;0,5458;0,4791;2025-10-23
2;200;100;NULL;2;NULL;78211B;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;0,7583;0,5917;0,3791;0,2958;2025-10-23
2;200;100;NULL;2;NULL;78211B;6_DEP;6_DEP;4;NULL;NULL;0,8916;0,6;0,4458;0,3;2025-10-23
1;150;25;NULL;6;NULL;78231A;1_SMT;1_SMTA;1;NULL;NULL;1,7833;0,9833;0,2972;0,1639;2026-04-20
1;24;4;25;6;6;78231A;3_SEL;3_SELA;2;3,7667;2,5667;3,7667;2,5667;0,6278;0,4278;2026-04-20
1;150;25;NULL;6;NULL;78231A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,7333;1,3667;0,2889;0,2278;2026-04-20
1;150;25;NULL;6;NULL;78231A;5_FPT;5_FPT_BASIC;4;NULL;NULL;3,1167;2,1167;0,5194;0,3528;2026-04-20
1;144;24;NULL;6;NULL;78231A;6_DEP;6_DEP;5;NULL;NULL;1,3667;1,1667;0,2278;0,1945;2026-04-20
1;702;234;NULL;3;NULL;78261A;1_SMT;1_SMTA;1;NULL;NULL;0,6333;0,5;0,2111;0,1667;2026-04-16
1;234;78;79;3;9;78261A;3_SEL;3_SELA;2;3;2,1;1;0,7;0,3333;0,2333;2026-04-16
1;702;234;NULL;3;NULL;78261A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,0833;1,0333;0,3611;0,3444;2026-04-16
1;702;234;NULL;3;NULL;78261A;5_FPT;5_FPT_BASIC;4;NULL;NULL;0,75;0,7;0,25;0,2333;2026-04-16
1;702;234;NULL;3;NULL;78261A;6_DEP;6_DEP;5;NULL;NULL;0,6;0,5667;0,2;0,1889;2026-04-16
1;102;34;NULL;3;NULL;782F1A;1_SMT;1_SMTA;1;NULL;NULL;0,9667;0,8167;0,3222;0,2722;2026-06-08
1;34;11,3333333333333;20;3;6;782F1A;3_SEL;3_SELA;2;2,5666;2;1,2833;1;0,4278;0,3333;2026-06-08
1;102;34;NULL;3;NULL;782F1A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,0333;0,9333;0,3444;0,3111;2026-06-08
1;102;34;NULL;3;NULL;782F1A;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;2,5833;1,85;0,8611;0,6167;2026-06-08
1;102;34;NULL;3;NULL;782F1A;6_DEP;6_DEP;5;NULL;NULL;0,9333;0,65;0,3111;0,2167;2026-06-08
1;102;34;NULL;3;NULL;782G1A;1_SMT;1_SMTA;1;NULL;NULL;0,7;0,7;0,2333;0,2333;2026-06-03
1;34;11,3333333333333;17;3;6;782G1A;3_SEL;3_SELA;2;2;1,3;1;0,65;0,3333;0,2167;2026-06-03
1;102;34;NULL;3;NULL;782G1A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;0,9833;0,8833;0,3278;0,2944;2026-06-03
1;102;34;NULL;3;NULL;782G1A;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;0,6333;0,4833;0,2111;0,1611;2026-06-03
1;102;34;NULL;3;NULL;782G1A;6_DEP;6_DEP;5;NULL;NULL;0,75;0,6;0,25;0,2;2026-06-03
6;87;87;NULL;1;NULL;794B10;1_SMT;1_SMTA;1;NULL;NULL;1,4;1,1833;1,4;1,1833;2026-05-04
6;87;87;NULL;1;NULL;794B10;1_SMT;1_SMTB;2;NULL;NULL;1,4667;1,2333;1,4667;1,2333;2026-05-04
6;611;611;317;1;2;794B10;3_SEL;3_SELA;3;4,7866;3,6734;2,3933;1,8367;2,3933;1,8367;2024-11-12
6;811;811;NULL;1;NULL;794B10;4_AOI;4_AOI_SIDEA;4;NULL;NULL;1,8167;1,5861;1,8167;1,5861;2024-11-12
6;811;811;NULL;1;NULL;794B10;5_FPT;5_FPT_BASIC;5;NULL;NULL;2,8583;2,4306;2,8583;2,4306;2024-11-12
6;506;506;NULL;1;NULL;794B10;6_DEP;6_DEP;6;NULL;NULL;0,8944;0,6611;0,8944;0,6611;2025-11-18
1;78;78;NULL;1;NULL;794B12;4_AOI;4_AOI_SIDEA;1;NULL;NULL;1,65;1,4333;1,65;1,4333;2025-07-17
1;78;78;NULL;1;NULL;794B12;5_FPT;5_FPT_BASIC;2;NULL;NULL;3,2667;2,55;3,2667;2,55;2025-07-17
1;72;72;81;1;2;794B15;3_SEL;3_SELA;1;9,4;7,6666;4,7;3,8333;4,7;3,8333;2025-04-04
1;72;72;NULL;1;NULL;794B15;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,8;1,5333;1,8;1,5333;2025-04-04
1;72;72;NULL;1;NULL;794B15;5_FPT;5_FPT_BASIC;3;NULL;NULL;2,8333;2,4833;2,8333;2,4833;2025-04-04
4;195;195;NULL;1;NULL;794B16;1_SMT;1_SMTA;1;NULL;NULL;1,3;0,9917;1,3;0,9917;2026-03-20
4;195;195;NULL;1;NULL;794B16;1_SMT;1_SMTB;2;NULL;NULL;1,5;1,0833;1,5;1,0833;2026-03-20
4;226;226;132;1;2;794B16;3_SEL;3_SELA;3;5,5333;3,9223;2,7667;1,9611;2,7667;1,9611;2025-09-24
4;326;326;NULL;1;NULL;794B16;4_AOI;4_AOI_SIDEA;4;NULL;NULL;1,6833;1,475;1,6833;1,475;2025-09-24
4;326;326;NULL;1;NULL;794B16;5_FPT;5_FPT_BASIC;5;NULL;NULL;3,25;2,6625;3,25;2,6625;2025-09-24
4;194;194;NULL;1;NULL;794B16;6_DEP;6_DEP;6;NULL;NULL;0,85;0,6583;0,85;0,6583;2026-02-02
1;90;90;NULL;1;NULL;794B17;1_SMT;1_SMTA;1;NULL;NULL;1,4;1,0667;1,4;1,0667;2026-07-27
1;90;90;NULL;1;NULL;794B17;1_SMT;1_SMTB;2;NULL;NULL;1,2;0,9333;1,2;0,9333;2026-07-27
1;90;90;NULL;1;NULL;794B17;4_AOI;4_AOI_SIDEA;3;NULL;NULL;1,75;1,45;1,75;1,45;2026-07-27
1;90;90;NULL;1;NULL;794B17;5_FPT;5_FPT_BASIC;4;NULL;NULL;4,2333;3,0667;4,2333;3,0667;2026-07-27
2;106;106;56;1;2;794B7D;3_SEL;3_SELA;1;4,9334;3,9666;2,4667;1,9833;2,4667;1,9833;2025-03-31
2;212;212;NULL;1;NULL;794B7D;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,8;1,5583;1,8;1,5583;2025-03-31
2;105;105;NULL;1;NULL;794B7D;5_FPT;5_FPT_BASIC;3;NULL;NULL;3,3167;2,55;3,3167;2,55;2025-09-19
2;106;106;NULL;1;NULL;794B7D;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;6,8333;6,1167;6,8333;6,1167;2025-03-31
2;192;192;100;1;2;794BKD;3_SEL;3_SELA;1;4,15;3,1833;2,075;1,5917;2,075;1,5917;2025-10-29
2;192;192;NULL;1;NULL;794BKD;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,75;1,4833;1,75;1,4833;2025-10-29
2;72;72;NULL;1;NULL;794BKD;5_FPT;5_FPT_BASIC;3;NULL;NULL;3,35;2,6667;3,35;2,6667;2026-01-20
2;120;120;NULL;1;NULL;794BKD;5_FPT;5_FPT_PREMIUM;4;NULL;NULL;5,35;4,6;5,35;4,6;2025-10-29
2;192;192;NULL;1;NULL;794BKD;6_DEP;6_DEP;5;NULL;NULL;1,1416;0,9334;1,1416;0,9334;2025-10-29
1;66;66;NULL;1;NULL;794BYD;1_SMT;1_SMTA;1;NULL;NULL;1,3167;1,0833;1,3167;1,0833;2026-03-20
1;66;66;NULL;1;NULL;794BYD;1_SMT;1_SMTB;2;NULL;NULL;1,4;1,0333;1,4;1,0333;2026-03-20
1;65;65;37;1;2;794BYD;3_SEL;3_SELA;3;4,3666;3,1666;2,1833;1,5833;2,1833;1,5833;2026-03-20
1;66;66;NULL;1;NULL;794BYD;4_AOI;4_AOI_SIDEA;4;NULL;NULL;1,5667;1,4667;1,5667;1,4667;2026-03-20
1;66;66;NULL;1;NULL;794BYD;5_FPT;5_FPT_BASIC;5;NULL;NULL;3,0167;2,3333;3,0167;2,3333;2026-03-20
1;66;66;NULL;1;NULL;794BYD;6_DEP;6_DEP;6;NULL;NULL;0,8667;0,7167;0,8667;0,7167;2026-03-20
1;23;7,66666666666667;13;3;6;794CAD;3_SEL;3_SELA;1;5,1334;3,9666;2,5667;1,9833;0,8556;0,6611;2025-07-14
1;78;26;NULL;3;NULL;794CAD;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,4833;1,3;0,4944;0,4333;2025-07-14
1;78;26;NULL;3;NULL;794CAD;5_FPT;5_FPT_BASIC;3;NULL;NULL;2,1833;2;0,7278;0,6667;2025-07-14
10;153;51;NULL;3;NULL;794CBD;1_SMT;1_SMTA;1;NULL;NULL;1,2416;0,8417;0,4139;0,2806;2026-04-01
10;153;51;NULL;3;NULL;794CBD;1_SMT;1_SMTB;2;NULL;NULL;1,2833;0,8833;0,4278;0,2944;2026-04-01
10;109;36,3333333333333;65;3;6;794CBD;3_SEL;3_SELA;3;5,2;3,8111;2,6;1,9055;0,8667;0,6352;2025-03-21
10;1233;411;NULL;3;NULL;794CBD;4_AOI;4_AOI_SIDEB;4;NULL;NULL;1,7317;1,4117;0,5772;0,4706;2024-11-12
10;1233;411;NULL;3;NULL;794CBD;5_FPT;5_FPT_BASIC;5;NULL;NULL;2,5383;2,1517;0,8461;0,7172;2024-11-12
10;573;191;NULL;3;NULL;794CBD;6_DEP;6_DEP;6;NULL;NULL;0,9833;0,7833;0,3278;0,2611;2025-11-27
1;22;7,33333333333333;12;3;6;794CED;3_SEL;3_SELA;1;4,3;3,5;2,15;1,75;0,7167;0,5833;2025-07-15
1;78;26;NULL;3;NULL;794CED;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,4333;1,2667;0,4778;0,4222;2025-07-15
1;78;26;NULL;3;NULL;794CED;5_FPT;5_FPT_BASIC;3;NULL;NULL;2,3167;1,75;0,7722;0,5833;2025-07-15
6;195;65;NULL;3;NULL;794CGD;1_SMT;1_SMTA;1;NULL;NULL;1,3584;0,975;0,4528;0,325;2026-03-12
6;195;65;NULL;3;NULL;794CGD;1_SMT;1_SMTB;2;NULL;NULL;1,2667;0,9333;0,4222;0,3111;2026-03-12
6;147;49;80;3;6;794CGD;3_SEL;3_SELA;3;4,4933;3,46;2,2467;1,73;0,7489;0,5767;2025-10-01
6;519;173;NULL;3;NULL;794CGD;4_AOI;4_AOI_SIDEB;4;NULL;NULL;1,6278;1,4083;0,5426;0,4694;2025-10-01
6;519;173;NULL;3;NULL;794CGD;5_FPT;5_FPT_BASIC;5;NULL;NULL;2,3583;1,9583;0,7861;0,6528;2025-10-01
6;447;149;NULL;3;NULL;794CGD;6_DEP;6_DEP;6;NULL;NULL;0,9767;0,7933;0,3256;0,2644;2025-10-01
6;195;65;NULL;3;NULL;794CID;1_SMT;1_SMTA;1;NULL;NULL;1,375;0,975;0,4583;0,325;2026-03-12
6;195;65;NULL;3;NULL;794CID;1_SMT;1_SMTB;2;NULL;NULL;1,3083;0,9667;0,4361;0,3222;2026-03-12
6;148;49,3333333333333;83;3;6;794CID;3_SEL;3_SELA;3;4,7533;3,4066;2,3767;1,7033;0,7922;0,5678;2025-09-08
6;585;195;NULL;3;NULL;794CID;4_AOI;4_AOI_SIDEB;4;NULL;NULL;1,5333;1,1833;0,5111;0,3944;2025-09-08
6;519;173;NULL;3;NULL;794CID;5_FPT;5_FPT_BASIC;5;NULL;NULL;2,481;1,9929;0,827;0,6643;2025-09-08
6;387;129;NULL;3;NULL;794CID;6_DEP;6_DEP;6;NULL;NULL;1,1083;0,8542;0,3695;0,2847;2025-10-14
10;153;51;NULL;3;NULL;794CKD;1_SMT;1_SMTA;1;NULL;NULL;1,3417;0,95;0,4472;0,3167;2026-04-01
10;153;51;NULL;3;NULL;794CKD;1_SMT;1_SMTB;2;NULL;NULL;1,5167;1,0333;0,5056;0,3444;2026-04-01
10;220;73,3333333333333;119;3;6;794CKD;3_SEL;3_SELA;3;4,38;3,22;2,19;1,61;0,73;0,5367;2025-03-27
10;1164;388;NULL;3;NULL;794CKD;4_AOI;4_AOI_SIDEB;4;NULL;NULL;1,6767;1,4167;0,5589;0,4722;2024-11-13
10;1164;388;NULL;3;NULL;794CKD;5_FPT;5_FPT_BASIC;5;NULL;NULL;2,3417;1,96;0,7806;0,6533;2024-11-13
10;570;190;NULL;3;NULL;794CKD;6_DEP;6_DEP;6;NULL;NULL;1,1917;0,9542;0,3972;0,318;2025-11-27
1;90;30;NULL;3;NULL;794CRD;1_SMT;1_SMTA;1;NULL;NULL;1,3167;0,9833;0,4389;0,3278;2026-07-21
1;90;30;NULL;3;NULL;794CRD;1_SMT;1_SMTB;2;NULL;NULL;1,1667;1;0,3889;0,3333;2026-07-21
1;90;30;NULL;3;NULL;794CRD;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,7167;1,3833;0,5722;0,4611;2026-07-21
1;66;22;NULL;3;NULL;794CRD;5_FPT;5_FPT_BASIC;4;NULL;NULL;3,2167;2,3;1,0722;0,7667;2026-07-21
4;85;28,3333333333333;45;3;6;794D1D;3_SEL;3_SELA;1;2,4556;1,5111;1,2278;0,7556;0,4093;0,2519;2025-03-24
4;342;114;NULL;3;NULL;794D1D;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,6292;1,5;0,5431;0,5;2025-03-24
4;345;115;NULL;3;NULL;794D1D;5_FPT;5_FPT_BASIC;3;NULL;NULL;2,7167;2,2042;0,9056;0,7347;2025-03-24
13;372;124;NULL;3;NULL;794DBD;1_SMT;1_SMTA;1;NULL;NULL;1,6625;1,1791;0,5542;0,393;2026-03-18
13;372;124;NULL;3;NULL;794DBD;1_SMT;1_SMTB;2;NULL;NULL;0,9583;0,6875;0,3194;0,2292;2026-03-18
13;73;24,3333333333333;37;3;6;794DBD;3_SEL;3_SELA;3;2,5834;2,45;1,2917;1,225;0,4306;0,4083;2025-03-21
13;171;57;NULL;3;NULL;794DBD;4_AOI;4_AOI_SIDEA;4;NULL;NULL;1,55;1,2833;0,5167;0,4278;2025-09-15
13;1272;424;NULL;3;NULL;794DBD;4_AOI;4_AOI_SIDEB;5;NULL;NULL;1,6348;1,3288;0,5449;0,4429;2024-11-15
13;1443;481;NULL;3;NULL;794DBD;5_FPT;5_FPT_BASIC;6;NULL;NULL;2,1256;1,7859;0,7085;0,5953;2024-11-15
1;66;22;NULL;3;NULL;794DID;1_SMT;1_SMTA;1;NULL;NULL;1,6833;1,2333;0,5611;0,4111;2026-03-27
1;66;22;NULL;3;NULL;794DID;1_SMT;1_SMTB;2;NULL;NULL;1,35;1,1167;0,45;0,3722;2026-03-27
1;66;22;NULL;3;NULL;794DID;4_AOI;4_AOI_SIDEB;3;NULL;NULL;2,1833;1,8167;0,7278;0,6056;2026-03-27
1;66;22;NULL;3;NULL;794DID;5_FPT;5_FPT_BASIC;4;NULL;NULL;3;2,55;1;0,85;2026-03-27
1;19;6,33333333333333;17;3;6;794E1A;3_SEL;3_SELA;1;2,5666;1,7666;1,2833;0,8833;0,4278;0,2944;2025-07-15
1;78;26;NULL;3;NULL;794E1A;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,2667;0,9333;0,4222;0,3111;2025-07-15
1;78;26;NULL;3;NULL;794E1A;5_FPT;5_FPT_BASIC;3;NULL;NULL;1,2833;0,7167;0,4278;0,2389;2025-07-15
2;120;120;NULL;1;NULL;799Q1A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;0,9667;0,8583;0,9667;0,8583;2025-01-16
2;120;120;NULL;1;NULL;799Q1A;5_FPT;5_FPT_BASIC;2;NULL;NULL;0,7417;0,4917;0,7417;0,4917;2025-01-16
2;50;50;NULL;1;NULL;799Q1A;6_DEP;6_DEP;3;NULL;NULL;0,8333;0,55;0,8333;0,55;2025-12-12
1;50;50;NULL;1;NULL;799QAA;4_AOI;4_AOI_SIDEB;1;NULL;NULL;0,9667;0,85;0,9667;0,85;2025-12-12
1;50;50;NULL;1;NULL;799QAA;5_FPT;5_FPT_BASIC;2;NULL;NULL;0,8;0,5;0,8;0,5;2025-12-12
1;50;50;NULL;1;NULL;799QAA;6_DEP;6_DEP;3;NULL;NULL;0,6667;0,4667;0,6667;0,4667;2025-12-12
2;20;2;31;10;10;799R1A;3_SEL;3_SELA;1;11,675;8,475;11,675;8,475;1,1675;0,8475;2025-04-15
2;200;20;NULL;10;NULL;799R1A;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,825;1,4916;0,1825;0,1492;2025-04-15
2;200;20;NULL;10;NULL;799R1A;5_FPT;5_FPT_BASIC;3;NULL;NULL;3,9333;2,9333;0,3933;0,2933;2025-04-15
2;100;10;NULL;10;NULL;799R1A;6_DEP;6_DEP;4;NULL;NULL;3,35;1,35;0,335;0,135;2025-12-12
4;92;9,2;55;10;20;81011C;3_SEL;3_SELA;1;8,625;6,9417;4,3125;3,4708;0,4313;0,3471;2025-01-22
4;1000;100;NULL;10;NULL;81011C;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,3792;1,0125;0,1379;0,1012;2025-01-22
4;1000;100;NULL;10;NULL;81011C;5_FPT;5_FPT_BASIC;3;NULL;NULL;2,0292;1,4042;0,2029;0,1404;2025-01-22
13;228;114;NULL;2;NULL;89521A;1_SMT;1_SMTB;1;NULL;NULL;0,7083;0,575;0,3541;0,2875;2026-06-15
13;231;115,5;120;2;4;89521A;3_SEL;3_SELA;2;4,7714;3,6524;2,3857;1,8262;1,1929;0,9131;2025-09-05
13;910;455;NULL;2;NULL;89521A;4_AOI;4_AOI_SIDEA;3;NULL;NULL;1,3256;1,0667;0,6628;0,5333;2024-09-26
13;910;455;NULL;2;NULL;89521A;5_FPT;5_FPT_BASIC;4;NULL;NULL;0,9782;0,6833;0,4891;0,3417;2024-09-26
13;270;135;NULL;2;NULL;89521A;6_DEP;6_DEP;5;NULL;NULL;0,8042;0,4875;0,4021;0,2438;2025-10-13
3;50;10;NULL;5;NULL;91011C;2_ODD;2_ODDA;1;NULL;NULL;1,9;1,4;0,38;0,28;2025-06-24
3;150;30;NULL;5;NULL;91011C;4_AOI;4_AOI_SIDEB;2;NULL;NULL;1,6611;0,9611;0,3322;0,1922;2025-06-17
3;150;30;NULL;5;NULL;91011C;5_FPT;5_FPT_BASIC;3;NULL;NULL;1,6389;1,1389;0,3278;0,2278;2025-06-17
5;50;10;NULL;5;NULL;913A1B;1_SMT;1_SMTA;1;NULL;NULL;1,8167;1,3167;0,3633;0,2633;2026-08-03
5;450;90;NULL;5;NULL;913A1B;4_AOI;4_AOI_SIDEA;2;NULL;NULL;1,4533;0,8833;0,2907;0,1767;2025-02-12
5;425;85;NULL;5;NULL;913A1B;5_FPT;5_FPT_PREMIUM;3;NULL;NULL;10,6333;9,2867;2,1267;1,8573;2025-02-12
5;50;10;NULL;5;NULL;913A1B;6_DEP;6_DEP;4;NULL;NULL;2,0167;1,0167;0,4033;0,2033;2026-08-03
2;60;30;NULL;2;NULL;95981A;1_SMT;1_SMTA;1;NULL;NULL;1,4667;0,8;0,7333;0,4;2026-03-27
2;60;30;NULL;2;NULL;95981A;1_SMT;1_SMTB;2;NULL;NULL;1,2167;0,8833;0,6083;0,4416;2026-03-27
2;120;60;NULL;2;NULL;95981A;4_AOI;4_AOI_SIDEB;3;NULL;NULL;1,2084;0,9833;0,6042;0,4917;2025-08-29
2;56;28;NULL;2;NULL;95981A;5_FPT;5_FPT_BASIC;4;NULL;NULL;3,3833;2,3167;1,6917;1,1583;2026-03-27
2;124;62;NULL;2;NULL;95991A;4_AOI;4_AOI_SIDEB;1;NULL;NULL;1,0417;0,875;0,5209;0,4375;2025-03-20
2;118;59;NULL;2;NULL;95991A;5_FPT;5_FPT_BASIC;2;NULL;NULL;1,475;1,2167;0,7375;0,6083;2025-03-20
